field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
other_rx_unit_3,admission,,radio,"Unit of medication 3","1, Gram|2, Milligram|88, Other",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_dose_unit
other_rx_other_3,admission,,text,"Other dose/unit of medication 3",,,,,,,"[treatments_other_rx] = '1'",,,,,,
other_rx_route_3,admission,,radio,"Route of medication 3","1, Oral|2, IV|99, Unknown",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_route
other_rx_frequency_3,admission,,radio,"Frequency of medication 3","1, Once a day|2, Twice a day|3, Three times a day|88, Other",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_frequency
other_rx_frequ_oth_3,admission,,text,"Other frequency of medication 3",,,,,,,"[treatments_other_rx] = '1'",,,,,,
other_rx_name_4,admission,,text,"Name of medication 4",,,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_name
other_rx_dose_4,admission,,text,"Dose of medication 4",,,integer,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_dose
other_rx_unit_4,admission,,radio,"Unit of medication 4","1, Gram|2, Milligram|88, Other",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_dose_unit
other_rx_other_4,admission,,text,"Other dose/unit of medication 4",,,,,,,"[treatments_other_rx] = '1'",,,,,,
other_rx_route_4,admission,,radio,"Route of medication 4","1, Oral|2, IV|99, Unknown",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_route
other_rx_frequency_4,admission,,radio,"Frequency of medication 4","1, Once a day|2, Twice a day|3, Three times a day|88, Other",,,,,,"[treatments_other_rx] = '1'",,,,,,other_rx_data-other_rx_frequency
other_rx_frequ_oth_4,admission,,text,"Other frequency of medication 4",,,,,,,"[treatments_other_rx] = '1'",,,,,,
experimental_rx_name,admission,,radio,"Type of Ebola experimental treament","1, Zmapp|2, Remdesivir (GS-5734)|3, REGN3470-3471-3479|4, mAb114",,,,,,"[treatments_exper_rx] = '1'",,,,,,experimental_rx_data-experimental_rx_name
other_treatment_note2,admission,,text,"Other treatment notes",,,,,,,,,,,,,other_treatment_note2
ors,admission,"Other treatments",radio,"Oral/orogastric fluids","1, Yes|0, No|99, Unknown",,,,,,,,,,,,ors
oral_fluid_type,admission,,radio,"Fluid Type","1, ORS|2, Water|88, Other",,,,,,"[ors] = '1'",,,,,,oral_fluid_type
ors_fluid_amount,admission,,text,"Amount of ORS fluid (ml)",,,integer,,,,"[oral_fluid_type] = '1'",,,,,,ORS_fluid_amount
h20_fluid_amount,admission,,text,"Amount of water (ml)",,,integer,,,,"[oral_fluid_type] = '2'",,,,,,H20_fluid_amount
other_fluid_amount,admission,,text,"Amount of other fluids (ml)",,,integer,,,,"[oral_fluid_type] = '88'",,,,,,Other_fluid_amount
ivf,admission,,radio,IVF,"1, Yes|0, No|99, Unknown",,,,,,,,,,,,ivf
ivf_nacl,admission,"Type of IVF",radio,NaCl,"1, Yes|0, No|99, Unknown",,,,,,"[ivf] = '1'",,,,type_ivf,,
ivf_ringers,admission,,radio,"Ringer's lactate","1, Yes|0, No|99, Unknown",,,,,,"[ivf] = '1'",,,,type_ivf,,
ivf_d5ns,admission,,radio,D5NS,"1, Yes|0, No|99, Unknown",,,,,,"[ivf] = '1'",,,,type_ivf,,
ivf_d5lr,admission,,radio,D5LR,"1, Yes|0, No|99, Unknown",,,,,,"[ivf] = '1'",,,,type_ivf,,
ivf_other,admission,,radio,Other,"1, Yes|0, No|99, Unknown",,,,,,"[ivf] = '1'",,,,type_ivf,,
iv_nacl_amount,admission,,text,"Amount of NaCl (ml)",,,integer,,,,"[ivf_nacl] = '1'",,,,,,iv_NACL_amount
iv_ringers_amount,admission,,text,"Amount of Ringer's lactate (ml)",,,integer,,,,"[ivf_ringers] = '1'",,,,,,iv_ringers_amount
iv_d5ns_amount,admission,,text,"Amount of D5NS (ml)",,,integer,,,,"[ivf_d5ns] = '1'",,,,,,iv_D5NS_amount
iv_d5lr_amount,admission,,text,"Amount  of D5LR (ml)",,,integer,,,,"[ivf_d5lr] = '1'",,,,,,iv_D5LR_amount
route_ivf,admission,,radio,"Access type of IVF","1, Intra-osseous|2, Peripheral|3, Central|99, Unknown",,,,,,,,,,,,other_treatments_group-route_ivf
oxygen,admission,,radio,"Oxygen therapy","1, Yes|0, No|99, Unknown",,,,,,,,,,,,oxygen
oxygen_flow,admission,,text,"Oxygen Flow (L/min)",,,integer,,,,"[oxygen] = '1'",,,,,,oxygen_group-oxygen_flow
oxygen_route,admission,,radio,"Oxygen Route","1, Nasal cannula|2, Face mask|3, Face mask with reservoir bag|99, Unknown",,,,,,"[oxygen] = '1'",,,,,,oxygen_group-oxygen_route
blood_transfusion,admission,,radio,"Blood transfusion","1, Yes|0, No|99, Unknown",,,,,,,,,,,,other_treatments_group-blood
rrt,admission,,radio,"Renal replacement therapy","1, Yes|0, No|99, Unknown",,,,,,,,,,,,other_treatments_group-rrt
vasopressors,admission,,radio,Vasopressors/inotropes,"1, Yes|0, No|99, Unknown",,,,,,,,,,,,other_treatments_group-vasopressors
ventilation,admission,,radio,"Invasive mechanical ventilation","1, Yes|0, No|99, Unknown",,,,,,,,,,,,other_treatments_group-ventilation
form_completed_by,admission,,text,"Form completed by",,,,,,,,,,,,,pers_qui_rempli-nom_pers_rempli
alt_date,daily_clinical_assessment,"EDV - Daily Clinical dataset",text,"Date of assessment",,,date_dmy,,,,,,,,,,alt_date
morn_obs_note,daily_clinical_assessment,"Morning measurement",text,"Morning note",,,,,,,,,,,,,Matin_obs-Matin_note
morn_obs_heart,daily_clinical_assessment,,text,"Heart rate (bpm)",,,integer,,,,,,,,,,Matin_obs-am_heart
morn_obs_systolic,daily_clinical_assessment,,text,"Systolic blood pressure (mmHg)",,,integer,,,,,,,,,,Matin_obs-am_systolic
morn_obs_diastolic,daily_clinical_assessment,,text,"Diastolic blood pressure (mmHg)",,,integer,,,,,,,,,,Matin_obs-am_diastolic
morn_obs_resp_rate,daily_clinical_assessment,,text,"Respiration rate (per min)",,,integer,,,,,,,,,,Matin_obs-am_resp_rate
morn_obs_saturation,daily_clinical_assessment,,text,"Oxygen saturation (%)",,,integer,,,,,,,,,,Matin_obs-am_saturation
morn_obs_temp,daily_clinical_assessment,,text,"Temperature (°C)",,,number_1dp,,,,,,,,,,Matin_obs-am_temperature
morn_obs_avpu,daily_clinical_assessment,,text,"Mental status",,"A, V, P, U",alpha_only,,,,,,,,,,Matin_obs-am_avpu_level
mid_obs_note,daily_clinical_assessment,"Midday measurement",text,"Midday Note",,,,,,,,,,,,,Midi_obs-Midi_note
mid_obs_heart,daily_clinical_assessment,,text,"Heart rate (bpm)",,,integer,,,,,,,,,,Midi_obs-mid_heart
mid_obs_systolic,daily_clinical_assessment,,text,"Systolic blood pressure (mmHg)",,,integer,,,,,,,,,,Midi_obs-mid_systolic
mid_obs_diastolic,daily_clinical_assessment,,text,"Diastolic blood pressure (mmHg)",,,integer,,,,,,,,,,Midi_obs-mid_diastolic
mid_obs_resp_rate,daily_clinical_assessment,,text,"Respiration rate (per min)",,,integer,,,,,,,,,,Midi_obs-mid_resp_rate
mid_obs_saturation,daily_clinical_assessment,,text,"Oxygen saturation (%)",,,integer,,,,,,,,,,Midi_obs-mid_saturation
mid_obs_temp,daily_clinical_assessment,,text,"Temperature (°C)",,,number_1dp,,,,,,,,,,Midi_obs-mid_temperature
mid_obs_avpu,daily_clinical_assessment,,text,"Mental status",,"A, V, P, U",alpha_only,,,,,,,,,,Midi_obs-mid_avpu_level
eve_obs_note,daily_clinical_assessment,"Evening measurement",text,"Evening Note",,,,,,,,,,,,,Soir_obs-soir_note
eve_obs_heart,daily_clinical_assessment,,text,"Heart rate (bpm)",,,integer,,,,,,,,,,Soir_obs-pm_heart
eve_obs_systolic,daily_clinical_assessment,,text,"Systolic blood pressure (mmHg)",,,integer,,,,,,,,,,Soir_obs-pm_systolic
eve_obs_diastolic,daily_clinical_assessment,,text,"Diastolic blood pressure (mmHg)",,,integer,,,,,,,,,,Soir_obs-pm_diastolic
eve_obs_resp_rate,daily_clinical_assessment,,text,"Respiration rate (per min)",,,integer,,,,,,,,,,Soir_obs-pm_resp_rate
eve_obs_saturation,daily_clinical_assessment,,text,"Oxygen saturation (%)",,,integer,,,,,,,,,,Soir_obs-pm_saturation
eve_obs_temp,daily_clinical_assessment,,text,"Temperature (°C)",,,number_1dp,,,,,,,,,,Soir_obs-pm_temperature
eve_obs_avpu,daily_clinical_assessment,,text,"Mental status ",,"A, V, P, U",alpha_only,,,,,,,,,,Soir_obs-pm_avpu_level
fatigue_morn,daily_clinical_assessment,"Morning symptoms",radio,Fatigue,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
weakness_morn,daily_clinical_assessment,,radio,Weakness,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
myalgia_morn,daily_clinical_assessment,,radio,Myalgia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
anorexia_morn,daily_clinical_assessment,,radio,Anorexia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
headache_morn,daily_clinical_assessment,,radio,Headache,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
nausea_morn,daily_clinical_assessment,,radio,Nausea,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
dysphagia_morn,daily_clinical_assessment,,radio,Dysphagia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
vomiting_morn,daily_clinical_assessment,,radio,Vomiting,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
diff_breath_morn,daily_clinical_assessment,,radio,"Difficulty breathing","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
diarrhoea_morn,daily_clinical_assessment,,radio,Diarrhoea,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
bleeding_morn,daily_clinical_assessment,,radio,"Unusual bleeding/bruising","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
dehydrat_morn,daily_clinical_assessment,,radio,"Signs of dehydration","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
shock_morn,daily_clinical_assessment,,radio,"Signs of shock","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
anuria_morn,daily_clinical_assessment,,radio,Anuria,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
desorient_morn,daily_clinical_assessment,,radio,Desorientation,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
agitation_morn,daily_clinical_assessment,,radio,Agitation,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
seizure_morn,daily_clinical_assessment,,radio,Seizure,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_morning,,
fatigue_mid,daily_clinical_assessment,"Midday symptoms",radio,Fatigue,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
weakness_mid,daily_clinical_assessment,,radio,Weakness,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
myalgia_mid,daily_clinical_assessment,,radio,Myalgia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
anorexia_mid,daily_clinical_assessment,,radio,Anorexia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
headache_mid,daily_clinical_assessment,,radio,Headache,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
nausea_mid,daily_clinical_assessment,,radio,Nausea,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
dysphagia_mid,daily_clinical_assessment,,radio,Dysphagia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
vomiting_mid,daily_clinical_assessment,,radio,Vomiting,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
diff_breath_mid,daily_clinical_assessment,,radio,"Difficulty breathing","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
diarrhoea_mid,daily_clinical_assessment,,radio,Diarrhoea,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
bleeding_mid,daily_clinical_assessment,,radio,"Unsual bleeding/bruising","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
dehydrat_mid,daily_clinical_assessment,,radio,"Signs of dehydration","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
shock_mid,daily_clinical_assessment,,radio,"Signs of shock","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
anuria_mid,daily_clinical_assessment,,radio,Anuria,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
desorient_mid,daily_clinical_assessment,,radio,Desorientation,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
agitation_mid,daily_clinical_assessment,,radio,Agitation,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
seizure_mid,daily_clinical_assessment,,radio,Seizure,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_midday,,
fatigue_eve,daily_clinical_assessment,"Evening symptoms",radio,Fatigue,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
weakness_eve,daily_clinical_assessment,,radio,Weakness,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
myalgia_eve,daily_clinical_assessment,,radio,Myalgia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
anorexia_eve,daily_clinical_assessment,,radio,Anorexia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
headache_eve,daily_clinical_assessment,,radio,Headache,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
nausea_eve,daily_clinical_assessment,,radio,Nausea,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
dysphagia_eve,daily_clinical_assessment,,radio,Dysphagia,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
vomiting_eve,daily_clinical_assessment,,radio,Vomiting,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
diff_breath_eve,daily_clinical_assessment,,radio,"Difficulty breathing","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
diarrhoea_eve,daily_clinical_assessment,,radio,Diarrhoea,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
bleeding_eve,daily_clinical_assessment,,radio,"Unusual bleeding/bruising","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
dehydrat_eve,daily_clinical_assessment,,radio,"Signs of dehydration","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
shock_eve,daily_clinical_assessment,,radio,"Signs of shock","1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
anuria_eve,daily_clinical_assessment,,radio,Anuria,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
desorient_eve,daily_clinical_assessment,,radio,Desorientation,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
agitation_eve,daily_clinical_assessment,,radio,Agitation,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
seizure_eve,daily_clinical_assessment,,radio,Seizure,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_eve,,
new_labs,daily_clinical_assessment,"New lab results",radio,"Lab done?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,new_labs
daily_ebola_pcr,daily_clinical_assessment,,radio,"Ebola PCR","1, GeneXpert|0, Not done|88, Other",,,,,,"[new_labs] = '1'",,,,,,new_labs_group-ebola_pcr
daily_ebola_pcr_other,daily_clinical_assessment,,text,"Other PCR",,,,,,,"[daily_ebola_pcr_other] = '88'",,,,,,new_labs_group-ebola_pcr_other
daily_pcr_xpert_date,daily_clinical_assessment,,text,"Date of GeneXpert PCR",,,date_dmy,,,,"[daily_ebola_pcr] = '1'",,,,,,new_labs_group-xpert_pcr-xpert_date
daily_pcr_xpert_result,daily_clinical_assessment,,radio,"Result of GeneXpert PCR","1, Positive|0, Negative|2, Indeterminate",,,,,,"[daily_ebola_pcr] = '1'",,,,,,new_labs_group-xpert_pcr-xpert_result
daily_xpert_gp_ct,daily_clinical_assessment,,text,"GP Ct value of GeneXpert PCR",,,number_1dp,,,,"[daily_ebola_pcr] = '1'",,,,,,new_labs_group-xpert_ct_values-xpert_gp_ct
